天干1,天干2,天干3,天干4,地支1,地支2,地支3,地支4,性别,合并,得分,评语
4,10,8,12,3,11,5,1,1,丁酉辛亥丙戌戊子,4,"穷,前后离婚,有两个老婆"
10,4,1,1,5,7,2,4,2,坤癸卯甲子戊午乙卯,3,剖腹产择日我个人观点，最好不要择日，顺其自然。择日的因果很深，有实力的命师，轻易不可能帮你择日，而能帮你择日的，多数是骗财。这是朋友圈看到一个案例，2岁小孩得白血病，庸师收5万，帮剖腹产择日，这个日子很凶。择好日本想达到最优组合，趋吉避凶，择不好，反而大凶。实践中我帮一个亲戚选了个日子，没想到后面提前出生。坤造：癸卯??甲子??戊午?乙卯（空子丑）胎元：乙卯??命宫：甲寅大运：乙丑5 ?丙寅戊午日元生甲子月，财星当令月上透杀，年上癸卯，时上乙卯，财生官杀旺。戊午日座印化官生身，一看好日子。庸师只知肤浅的命理，有官有印，又有财，很是富贵。不知子午冲，财坏印。双卯破午，印已经损坏严重，非但无大富贵，反而出大灾。年上财生月杀，时上官，官杀混杂财杀党众。甲辰年，七杀透克身，子午冲，卯午破，午坏血液的病，白血病。择日一千位命师，不超过五个能择好日，普通人顺其自然，不择日为好。否则花钱买闹心。多数择日，普通日子，遇到这种庸师与日子，那个人能受得住？子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,4,9,11,7,3,3,11,2,坤癸卯壬戌庚寅丙戌,4,女命失手杀夫而引官司，与一般的官非不同，比如拘留几天，是我记得的唯一女命牢狱。坤造特殊案例是不少是风月之人，三儿之类。算命不是猜命，不是概率。命理学是科学，以生辰八字的推理预测。坤：癸卯?壬戌?庚寅?丙戌（空午未）胎元：癸丑??命宫：己未大运：癸亥9?甲子?乙丑?丙寅?丁卯?戊辰庚寅日元生壬戌月，印星当令。庚在戌中有余气，象有点根，戌伏到时，也有根。座下财星，丙透到时上，杀座根通库，寅中长生，又是戌月。好在月上透食，食能制住杀，平安顺利，制不住，杀就是鬼。问丙寅运何事？铁口牢狱。命中财杀都强，好在食伤透干制杀，平安顺利，制不住杀就是鬼。丙寅运，寅是座下寅伏吟到大运，代表命主本人应事。原命食神制杀，寅运食衰地，制不了杀，反生财，财生杀，杀无制成鬼。月时双戌，本是印化杀，但原命年上卯戌合，座下财来坏印，可谓凶神伏藏，大运寅到引动，灾大无比，必有牢狱。反馈失手杀夫，座牢。女命以官为禄，以食伤为福，命局食伤与官交战失衡，小孩父亡母牢狱，人生一悲事。有兴趣的易友，可以研究那年出狱，在公众号回复，超十人反馈。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
6,2,8,8,6,8,5,5,2,坤己丑辛未己未戊辰,4,这是转发自小红书的盘，没有具体来源与其它信息，可以确定的是，反馈与命盘相符合，大家可以参考。坤造：己丑?辛未?己未?戊辰（空戌亥）胎元：壬戌??命宫：庚午大运：壬申?癸酉?甲戌己未日元生辛未月，比肩当令月上透食，年时四土，七土一金，命局偏枯，必然有情况，这种盘还小，婚姻不会理想。问有什么特别的？答：脑子有病，反馈精神病。土重以食伤金为用，月上透金本是喜。可惜辛未，未中有丁，枭印夺食。支双未冲丑，丑中辛根坏，食伤受制，食伤是思想，脑子有病。食神制杀，杀入未墓，中年行北方财运，比劫克财，这命克夫。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,7,7,3,7,9,3,11,2,坤丙午庚寅庚申丙戌,4,这是二个坤命的四同八字，一个石女一个天生无阴道，四同的盘，大的趋势类同。尽管有的四同盘，可能完全不一样，但这是小概率事情，今天这个四同大家可以参考。坤造：丙午?庚寅?庚申?丙戌（空子丑）胎元：辛巳??命宫：壬辰大运：己丑8?戊子?丁亥?丙戌?乙酉庚申日元生庚寅月，财星当令月上透比肩，死绝之地。年时透杀，杀在年月时见根，寅申冲，地支禄被冲，天干杀克身，都是显示出身受制，人生中必有不全。问有什么病？答：子宫癌。反馈是一个是石女，一个是无子宫。这个盘总体而言，禄坏七杀攻身，命局失衡。具体什么病，还要细看命局。地支寅午戌三合，时上丙戌杀生印。寅申冲，申中壬水坏，杀克身又生戌土，相对枭印重，食受伤最重。壬是食神代表女性的生殖部位，断的子宫癌。反馈石女无子宫，非常符合。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,11,8,10,3,9,1,7,1,乾戊戌辛酉丙申甲午,4,大龙盲派八字实战群，每天的擂题由群里易友轮流出，打擂当天晚上由出题老师直接反馈，答案只有出题老师自己知道。上榜的老师，剖析易理，分享经验。大龙盲派八字实战群，玩的就是公平公正公开，易学圈子不大，相信很多易友听说过，期待能在易学道路相向前行。此造是刘八卦老师的邻居，感谢刘老师提供一手八字，下面是主要反馈：1学业小学三年(父是解放前教私塾的，文革打成右派坏分子69年退学，兄姐4人命主最小一兄抱养别人一姐嫁乐山，一兄去填房2贫困五保户3职业农民，4未婚5无子女62年得肺炎高烧三天被一土医生用炙法，射火救了一命，从此头脑有问题，但能把黑白电视和收音机修好，会嫁接果树，，78父伤摔伤，80年父去世，09年母去世，2019年政府给两间半房，现政府一月给800多的生活费，不交医保看病不出钱乾造：戊戌?辛酉?丙申?甲午（空辰巳）胎元：壬子??命宫：甲寅大运：壬戌9?癸亥?甲子?乙丑?丙寅?丁卯丙申日元生辛酉月，财星当令月上透财，座财支三合财局，财重。年上戊戌，食神生财，财无制。时上甲午，印生阳刃，阳刃克财，能制住财，就有富，制不住贫。阳刃没有坏，甲木印被月上的财克坏，甲在酉月死绝之地，年月日时，印无法立足，贫。财重无制，光棍。问辛酉运壬寅年，寅申冲寅是命局中的甲，局中死绝，再冲申必然被克制。天干壬是七杀制丙火，断眼克手脚残。实际是生病脑子出问题，甲是印，主智慧。最后一问是问19年己亥，我答题是以为编错，按19年答。丁卯运己亥年，大运比劫助身，卯申合印能得到印。流年己亥，官来生印，结合前面，断吉吃低保，反馈政府给办低保免费医疗，还给盖两间房。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,1,9,9,1,11,1,11,1,乾甲子壬申甲戌甲戌,4,这是群里的案例，没有任何提示，直断一个流年。只有一问，如果多问，可能从其中能分析出关联，一问就好像一个人来测算，只给八字，然后闭口，等命师算。大龙盲派测断，一直是盲断，只要命主八字，出生地即可。反馈命主是三只手，因为偷盗入狱。小偷，赌博命理，我在实践中，有些总结，八字特点：一是原局印被穿坏、冲坏，财重克印之象。二是比劫克财和财星上透比劫。三是印生到比劫，而自己得到印的力量小，或者印被日时克坏，又想去劫财。为什么牢狱？自己的财花完了，只能去劫别人的财，所以是骗子、小偷。之前有牢狱的案例，大家可以参考：乾造：甲子?壬申?甲戌?甲戌（空申酉）胎元：癸丑??命宫：乙亥大运：癸酉11?甲戌?乙亥?丙子?丁丑?戊寅?己卯甲戌日元生壬申月，七杀当令月上透印，申子会水，杀印相生。天干三甲分印，年上甲子，日时甲戌伏吟。杀印相生本主贵，但印的力量主要到了年上甲子，日时甲戌伏吟，戌是食伤库，代表命主意在求财，食伤不见而是用比肩取财，格局低下。问壬午年癸酉运什么事？答：牢狱。反馈命主是三只手，因为偷盗入狱。癸酉运酉穿戌，戌中丁坏，双戌穿酉，酉受伤，癸水受伤。癸弱能生甲木，甲木克财，而酉运，甲木死绝不能克财，可见命主不学无术，是个小混混。壬午流年，印在死绝之地，午戌半会意在财，子午冲坏印之象，如果甲木强，生的午火也强，没有问题。但是命中甲木死绝，生不了伤官，伤官冲印必然引动官星，牢狱。三个甲木三只手，很形象。小偷命理第三点印生到比却，而自己得到印的力量小，或者印被日时克坏，又想去劫财，本局很匹配。小偷命理的总结，是大概章法，具体应用要活学活用，不可拘泥。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
2,12,4,12,1,5,4,4,1,乾乙亥丁亥甲辰丁卯,4,上面视频有公众号总结，包含流量主收入，感谢打赏的易友们，谢谢。还有公众号粉丝群活动，有兴趣了解的可以看看。这是八哥群主提供的一手案例，那个经伟断得全错，就这种货，天天在群里吹，全准，那年发财，那年伤灾，百分百准。各群里这样的江湖骗子很多，大家自己注意。大龙的案例，都是各群实断，我断截图，反馈截图，没有百分百准确的神话，一直实战一直进步，服务好有缘人。下面是主要反馈：此八字太旺又得劫帮身，正印並印母入辰墓，自小行丙戌运冲开辰墓母亡，有个后妈，身旺偏不爱干活，读书散慢小学文化，三分钟热度新鲜，无耐心，两伤官一劫露出，目无法纪，说话嘴尖利不留余地，针对性强，好斗，好投机取巧，行到甲申比杀运，丙申流年被人砍伤手，到2023年脱运自制毒品被佛山三水官方拘留，2024年交癸未墓运，正坐牢于今天（2026年4月2日）17点回到我铺，解官非拁锁被我打开书教育了一翻。之前有牢狱的案例，大家可以参考：乾造：乙亥?丁亥?甲辰?丁卯（空寅卯）胎元：戊寅??命宫：己卯大运：丙戌1?乙酉?甲申?癸未?壬午?庚辰甲辰日元生丁亥月，印星当令月上透伤官，地支双印当令，时上丁卯，羊刃助身，亥卯半会，命宫又是羊刃，身强旺。时上伤官丁火，羊刃透天在乙，伤官月时伏吟。可惜伤官在卯病地，在亥死绝之地。伤官生财，生不了财，只能卯辰穿，羊刃是八字命理?“极恶之煞”，羊刃起到负面作用，代表刻薄冷酷，以怨报德，反复无常，难以自控，常因一时之气酿成大祸?。一眼穷的八字，老婆不一定有，学历不高，打工，当时我只瞄一眼，脑子里答案出来。年月印星过旺，母夭命。读书时乙酉运，卯酉冲，羊刃制官，从小是个小混混，小学文化。两个伤官夹身，伶牙俐齿，尖酸刻薄。行西方运，财无气，食伤虚透，没有老婆。丙申运，癸卯年，食神制不住杀，反受其累，卯辰穿财，想捞偏门挣钱，自制毒品被抓住牢狱。有交流的请在下面留言。反受其累，卯辰穿财，想捞偏门挣钱，自制毒品被抓住牢狱。有交流的请在下面留言。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,1,9,11,7,1,3,11,1,乾戊子壬戌庚子丙戌,4,这是感恩乐天老师提供的身边盘，2008年出生，问学业，出生，特殊之处，寿命。14岁的小朋友问寿命，有些惊讶，命主必有特别之处，这么小身体应该出问题。乾造：戊子?壬戌?庚子?丙戌（空辰巳）胎元：癸丑?命宫：辛酉大运：癸亥5?甲子?乙丑?丙寅?丁卯?丙辰庚子日元生壬戌月，枭印当令月上透食神，天干年上戊子时上丙戌杀来生印，枭印夺神。地支双子双戌，戌当令日座伤官，食伤制不住，只能用食伤泄。月上壬食制杀，但年上戊枭来克就是问题。问了四问，我看主要在特殊之处，解决了这个问题，其它都简单。这么小食伤有病，食伤是水。八字看疾病，主要通过命局的五行对应人体五脏：水肾、泌尿系统、生殖系统，血液。胎元癸丑，子丑合克伤官，应该在娘胎里，命主就有问题。戊在年上，指头部。所以答是先天性病，头脑血管之类。反馈脑瘫很符合。命理看疾病只能看大概，因为有的病，很难用那一五行去定义，这我问过一些中医。而我们研究命理，只能看出那个五行受制严重，从而知道在什么时候应灾，这就是学命理超吉避凶的意义。各位易友，八字看疾病，有什么心得可以留言交流。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,11,6,8,10,12,4,6,2,坤戊戌己未癸亥丁巳,4,这是在某手刷到直播，屏幕上显示命盘，里面好像好几个人在断。这是女孩父亲来问，让看看这盘怎样，官杀重，财旺，水弱，各种术语，没有结论。我断心脑血管病，男子反馈是血液病。我断是白血病，反馈差不多，是再生性贫血。小女孩23年脸色发白，乏力，24年变严重，去医院确诊再生性贫血，目前租在外面，财生官杀旺，家境贫。目前吃中药，有人给断风水，北方有铁架，有水。男子反馈没有，说要祖宅的房子，我准备退了，于心不忍，讲了句，是病好好治疗。后面男子会不会改风水，我不知道，这不是我能改变。下面有断疾病寿元的案例，可以参考：坤造：戊戌?己未?癸亥?丁巳（空子丑）胎元：庚戌??命宫：丙辰大运：戊午9?丁巳?丙辰?乙卯?甲寅癸亥日元生己未月，七杀当令月上透七杀，年上戊戌，官杀在年月时见强根，时上丁巳，丁火在未月是阴刃，财生官重，财官统局，日元只能弃命从杀，才能有活路。癸亥日元自座劫财，巳亥冲克财，对抗财官。日空子丑，禄元逢空，大凶之造。其父问此女怎样？答：心脑血液之病，反馈是再生性贫血。8岁女童的盘，这个年纪没有多大的喜事，而盘面我一打眼，是大凶。病在巳亥冲，心脑血液，而命局生机全无，断白血病。这种病，有钱有可能治疗，那么此造家境怎样？喜印印在戌中，未戌刑，印坏。印是生身之本，忌财，一路往南方财地，家境必然贫困。戊午运，戊从巳中透座刃，财中透的官，家中必然无力出钱治病，官杀是什么？是土而土埋万物，是墓。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,3,2,8,4,2,1,5,1,乾丙寅乙未丁丑甲辰,4,杀人者偿命，千古道理。命主16岁杀人，座牢20年出来，可见人生背后有条无形的线，影响着各人轨迹。群里断命主那年入狱，那年出狱，我断出来。命主主要信息如下：家里温饱算穷，初中，自小是问题少年，未婚。02年杀人，04年被判刑，24年出来。按我看这类盘，伤官无制易走极端。伤官是“克官”之星，代表反叛、不守规矩。若大运流年引动，制官时会极端。乾造：丙寅?乙未?丁丑?甲辰（空申酉）胎元：丙戌??命宫：甲午大运：丙申3??丁酉??戊戌己亥庚子辛丑丁丑日元生乙未月，食神当令月上透印，地支三重土食伤混杂泄身太过，丑未冲丑中癸杀被克，无法无天。天干月时印星透出本火喜，制食伤生身，可惜年上丙寅，比劫化印生食伤，格局损坏，埋下灾根。问那年牢狱？那年出来？答：甲申牢狱，甲辰出狱。丁酉运，辰酉合坏印，自己座在财上，为财乱来。壬午年，丁壬合午是禄，午未合，官被制，伤官见官为祸百端，杀人。流年见禄体旺，可以制住官，没有事。甲申年，财重坏印食伤生财，财旺官旺，这年被抓住牢狱。那年能出来？戊戌运伤官泄身只能继续座牢。己亥运寅亥合，官生印，印旺克食伤生身，能够出来，甲辰年印透生身出狱。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,9,6,6,10,4,5,7,1,乾甲申己巳癸卯戊午,4,这是晴天老师在D音刷到，命主2025年10月15日去世，胃癌转肝癌。当时没有反馈什么病，我自己去查，发现从命主去世后，其父为了流量，发了有上百条视频全是用命主照片，那年生，那年亡，不断为流量搏同情。其中连出生日期有几个都不一样，可见其父是在吃人血馒头。我发的命盘是命主身份证上的日期。04年出生，没有出生证上不了户口，所以八字是准确，命主出生在安徽安庆，无其它信息。晴天老师对此盘有疑惑，按她看应该是很好的盘，实际早夭。在我三十多年的实践中，发现八字中有种特殊盘，弱而不从：只有日元一个，其它无生扶，全是克泄耗。如从旺，不能再去制，否则弱而不从。下面有断疾病寿元的案例，可以参考：乾造：甲申?己巳?癸卯?戊午（空辰巳）胎元：庚申??命宫：己巳大运：庚午5?辛未?壬申?癸酉癸卯日元生己巳月，财星当令月上透杀，时上戊午财生官杀强旺，日元不见根无比劫，虽年上申正印扶身，但巳申合，支木火当令成势必然克申，这盘一眼看去，必然从杀。卯午破，甲克戊，食伤制官杀破局，弱而不从，必然出凶。问乙巳年何事？断牢狱见生死。辛未运乙巳流年，大运未地癸水之墓，日元入墓大凶。未月天干甲也入墓，制官杀的手段全失，凶险。乙巳流年，食生巳合申，财来坏印，命中要用的东西全坏，不禄。月上巳合申，巳是父亲，生的己土七杀克身，时上官在巳见禄，财起了很坏的作用。命主去世快一年，其父发了上百条左右的视频，内容大同小异，流量非常好，一直卖货。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
